Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783367228000;2026-07-06T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367228000;2026-07-06T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367228799;2026-07-06T19:47:08.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367229199;2026-07-06T19:47:09.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367229799;2026-07-06T19:47:09.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367230199;2026-07-06T19:47:10.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367230799;2026-07-06T19:47:10.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367231399;2026-07-06T19:47:11.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367231799;2026-07-06T19:47:11.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367232399;2026-07-06T19:47:12.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367232799;2026-07-06T19:47:12.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367233399;2026-07-06T19:47:13.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367233799;2026-07-06T19:47:13.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367234399;2026-07-06T19:47:14.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367234799;2026-07-06T19:47:14.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367234799;2026-07-06T19:47:14.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367235399;2026-07-06T19:47:15.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367235399;2026-07-06T19:47:15.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367235799;2026-07-06T19:47:15.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367235799;2026-07-06T19:47:15.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367236399;2026-07-06T19:47:16.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367236399;2026-07-06T19:47:16.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367236799;2026-07-06T19:47:16.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367236799;2026-07-06T19:47:16.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367237399;2026-07-06T19:47:17.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367237399;2026-07-06T19:47:17.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367237799;2026-07-06T19:47:17.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367237799;2026-07-06T19:47:17.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367238399;2026-07-06T19:47:18.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367238399;2026-07-06T19:47:18.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367238799;2026-07-06T19:47:18.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367238799;2026-07-06T19:47:18.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367239399;2026-07-06T19:47:19.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367239399;2026-07-06T19:47:19.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367239799;2026-07-06T19:47:19.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367239799;2026-07-06T19:47:19.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367240399;2026-07-06T19:47:20.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367240399;2026-07-06T19:47:20.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367240799;2026-07-06T19:47:20.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367240799;2026-07-06T19:47:20.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367241399;2026-07-06T19:47:21.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367241399;2026-07-06T19:47:21.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367241799;2026-07-06T19:47:21.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367241799;2026-07-06T19:47:21.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367242399;2026-07-06T19:47:22.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367242399;2026-07-06T19:47:22.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367242799;2026-07-06T19:47:22.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367242799;2026-07-06T19:47:22.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367243399;2026-07-06T19:47:23.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367243399;2026-07-06T19:47:23.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367243799;2026-07-06T19:47:23.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367243799;2026-07-06T19:47:23.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367244399;2026-07-06T19:47:24.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367244399;2026-07-06T19:47:24.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367244799;2026-07-06T19:47:24.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367244799;2026-07-06T19:47:24.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367245399;2026-07-06T19:47:25.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367245399;2026-07-06T19:47:25.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367245799;2026-07-06T19:47:25.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367245799;2026-07-06T19:47:25.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367246399;2026-07-06T19:47:26.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367246399;2026-07-06T19:47:26.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367246999;2026-07-06T19:47:26.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367246999;2026-07-06T19:47:26.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367247399;2026-07-06T19:47:27.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367247399;2026-07-06T19:47:27.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367247999;2026-07-06T19:47:27.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367247999;2026-07-06T19:47:27.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367248399;2026-07-06T19:47:28.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367248399;2026-07-06T19:47:28.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367248999;2026-07-06T19:47:28.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367248999;2026-07-06T19:47:28.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367249399;2026-07-06T19:47:29.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367249399;2026-07-06T19:47:29.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367249999;2026-07-06T19:47:29.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367249999;2026-07-06T19:47:29.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367250399;2026-07-06T19:47:30.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367250399;2026-07-06T19:47:30.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367250999;2026-07-06T19:47:30.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367250999;2026-07-06T19:47:30.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367251399;2026-07-06T19:47:31.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367251399;2026-07-06T19:47:31.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367251999;2026-07-06T19:47:31.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367251999;2026-07-06T19:47:31.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367252399;2026-07-06T19:47:32.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367252399;2026-07-06T19:47:32.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367252999;2026-07-06T19:47:32.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367252999;2026-07-06T19:47:32.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367253399;2026-07-06T19:47:33.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367253399;2026-07-06T19:47:33.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367253999;2026-07-06T19:47:33.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367253999;2026-07-06T19:47:33.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367254399;2026-07-06T19:47:34.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367254399;2026-07-06T19:47:34.399Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367254999;2026-07-06T19:47:34.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367254999;2026-07-06T19:47:34.999Z;1;1;314;-1.0;-1.0
