Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783712827000;2026-07-10T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712827000;2026-07-10T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712827599;2026-07-10T19:47:07.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712828000;2026-07-10T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712828599;2026-07-10T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712829000;2026-07-10T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712829599;2026-07-10T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712829999;2026-07-10T19:47:09.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712830599;2026-07-10T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712830999;2026-07-10T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712830999;2026-07-10T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712831599;2026-07-10T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712831599;2026-07-10T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712831999;2026-07-10T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712831999;2026-07-10T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712832599;2026-07-10T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712832599;2026-07-10T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712832999;2026-07-10T19:47:12.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712832999;2026-07-10T19:47:12.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712833599;2026-07-10T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712833599;2026-07-10T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712834199;2026-07-10T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712834199;2026-07-10T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712834599;2026-07-10T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712834599;2026-07-10T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712835199;2026-07-10T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712835199;2026-07-10T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712835599;2026-07-10T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712835599;2026-07-10T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712836199;2026-07-10T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783712836199;2026-07-10T19:47:16.199Z;1;1;314;-1.0;-1.0
