Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1784231229199;2026-07-16T19:47:09.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231229199;2026-07-16T19:47:09.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231229599;2026-07-16T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231230199;2026-07-16T19:47:10.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231230799;2026-07-16T19:47:10.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231231199;2026-07-16T19:47:11.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231231799;2026-07-16T19:47:11.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231232199;2026-07-16T19:47:12.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231232799;2026-07-16T19:47:12.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233199;2026-07-16T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233799;2026-07-16T19:47:13.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234199;2026-07-16T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234799;2026-07-16T19:47:14.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235199;2026-07-16T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235799;2026-07-16T19:47:15.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235799;2026-07-16T19:47:15.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236199;2026-07-16T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236199;2026-07-16T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236799;2026-07-16T19:47:16.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236799;2026-07-16T19:47:16.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231237199;2026-07-16T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231237199;2026-07-16T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231237799;2026-07-16T19:47:17.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231237799;2026-07-16T19:47:17.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231238199;2026-07-16T19:47:18.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231238199;2026-07-16T19:47:18.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231238799;2026-07-16T19:47:18.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231238799;2026-07-16T19:47:18.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231239199;2026-07-16T19:47:19.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231239199;2026-07-16T19:47:19.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231239799;2026-07-16T19:47:19.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231239799;2026-07-16T19:47:19.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231240199;2026-07-16T19:47:20.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231240199;2026-07-16T19:47:20.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231240799;2026-07-16T19:47:20.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231240799;2026-07-16T19:47:20.799Z;1;1;314;-1.0;-1.0
