Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1784231227000;2026-07-16T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231227000;2026-07-16T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231227599;2026-07-16T19:47:07.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231228000;2026-07-16T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231228599;2026-07-16T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231229000;2026-07-16T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231229599;2026-07-16T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231229999;2026-07-16T19:47:09.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231230599;2026-07-16T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231230999;2026-07-16T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231231599;2026-07-16T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231231999;2026-07-16T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231231999;2026-07-16T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231232599;2026-07-16T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231232599;2026-07-16T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233199;2026-07-16T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233199;2026-07-16T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233599;2026-07-16T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231233599;2026-07-16T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234199;2026-07-16T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234199;2026-07-16T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234599;2026-07-16T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231234599;2026-07-16T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235199;2026-07-16T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235199;2026-07-16T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235599;2026-07-16T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231235599;2026-07-16T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236199;2026-07-16T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236199;2026-07-16T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236599;2026-07-16T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1784231236599;2026-07-16T19:47:16.599Z;1;1;314;-1.0;-1.0
