Time (Instant);ElapsedTime (s);PositionRef S10.TUNNEL_30S_NO_TS_NOISE (m);PositionDispl S10.TUNNEL_30S_NO_TS_NOISE (m);PositionError S10.TUNNEL_30S_NO_TS_NOISE (m);GpsSpeedInput S10.TUNNEL_30S_NO_TS_NOISE (m/s);GpsSpeedInputError S10.TUNNEL_30S_NO_TS_NOISE (m/s);LatitudeRef S10.TUNNEL_30S_NO_TS_NOISE (deg);LatitudeInput S10.TUNNEL_30S_NO_TS_NOISE (deg);LatitudeError S10.TUNNEL_30S_NO_TS_NOISE (deg);LongitudeRef S10.TUNNEL_30S_NO_TS_NOISE (deg);LongitudeInput S10.TUNNEL_30S_NO_TS_NOISE (deg);LongitudeError S10.TUNNEL_30S_NO_TS_NOISE (deg);GpsInvalidInput S10.TUNNEL_30S_NO_TS_NOISE;SpeedRef S10.TUNNEL_30S_NO_TS_NOISE (m/s);TrainSpeedInput S10.TUNNEL_30S_NO_TS_NOISE (m/s);TrainSpeedInputError S10.TUNNEL_30S_NO_TS_NOISE (m/s);SpeedDispl S10.TUNNEL_30S_NO_TS_NOISE (m/s);SpeedDisplError S10.TUNNEL_30S_NO_TS_NOISE (m/s)
2026-07-16T19:47:08Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:08Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:08.599Z;0.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:09.199Z;1.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:09.599Z;1.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:10.199Z;2.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:10.599Z;2.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:11.199Z;3.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:11.599Z;3.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-16T19:47:12.199Z;4.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
