Time (Instant);ElapsedTime (s);PositionRef S3.GPS_POSITION_NOISE_3M (m);PositionDispl S3.GPS_POSITION_NOISE_3M (m);PositionError S3.GPS_POSITION_NOISE_3M (m);GpsSpeedInput S3.GPS_POSITION_NOISE_3M (m/s);GpsSpeedInputError S3.GPS_POSITION_NOISE_3M (m/s);LatitudeRef S3.GPS_POSITION_NOISE_3M (deg);LatitudeInput S3.GPS_POSITION_NOISE_3M (deg);LatitudeError S3.GPS_POSITION_NOISE_3M (deg);LongitudeRef S3.GPS_POSITION_NOISE_3M (deg);LongitudeInput S3.GPS_POSITION_NOISE_3M (deg);LongitudeError S3.GPS_POSITION_NOISE_3M (deg);GpsInvalidInput S3.GPS_POSITION_NOISE_3M;SpeedRef S3.GPS_POSITION_NOISE_3M (m/s);TrainSpeedInput S3.GPS_POSITION_NOISE_3M (m/s);TrainSpeedInputError S3.GPS_POSITION_NOISE_3M (m/s);SpeedDispl S3.GPS_POSITION_NOISE_3M (m/s);SpeedDisplError S3.GPS_POSITION_NOISE_3M (m/s)
2026-07-13T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278351000;0.000049000;18.010141000;18.010225000;-0.000084000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:07Z;0.000;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278351000;0.000049000;18.010141000;18.010225000;-0.000084000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:07.599Z;0.599;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278381000;0.000019000;18.010141000;18.010229000;-0.000088000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:08Z;1.000;0.000000;0.852761;-0.852761;0.000000;0.000000;59.278400000;59.278366000;0.000034000;18.010141000;18.010174000;-0.000033000;false;0.000000;0.000000;0.000000;0.002431;-0.002431
2026-07-13T19:47:08.599Z;1.599;0.000000;0.853315;-0.853315;0.000000;0.000000;59.278400000;59.278419000;-0.000019000;18.010141000;18.010126000;0.000015000;false;0.000000;0.000000;0.000000;0.000079;-0.000079
2026-07-13T19:47:09Z;2.000;0.000000;-4.610599;4.610599;0.000000;0.000000;59.278400000;59.278419000;-0.000019000;18.010141000;18.010242000;-0.000101000;false;0.000000;0.000000;0.000000;-0.014438;0.014438
2026-07-13T19:47:09.599Z;2.599;0.000000;-4.613902;4.613902;0.000000;0.000000;59.278400000;59.278397000;0.000003000;18.010141000;18.010201000;-0.000060000;false;0.000000;0.000000;0.000000;-0.000475;0.000475
2026-07-13T19:47:09.999Z;2.999;0.000000;-4.613938;4.613938;0.000000;0.000000;59.278400000;59.278435000;-0.000035000;18.010141000;18.010284000;-0.000143000;false;0.000000;0.000000;0.000000;-0.000019;0.000019
2026-07-13T19:47:10.599Z;3.599;0.000000;-1.309476;1.309476;0.000000;0.000000;59.278400000;59.278374000;0.000026000;18.010141000;18.010126000;0.000015000;false;0.000000;0.000000;0.000000;0.000403;-0.000403
2026-07-13T19:47:10.999Z;3.999;0.000000;-1.309397;1.309397;0.000000;0.000000;59.278400000;59.278458000;-0.000058000;18.010141000;18.010267000;-0.000126000;false;0.000000;0.000000;0.000000;0.000029;-0.000029
2026-07-13T19:47:11.599Z;4.599;0.000000;-3.345627;3.345627;0.000000;0.000000;59.278400000;59.278427000;-0.000027000;18.010141000;18.010147000;-0.000006000;false;0.000000;0.000000;0.000000;-0.000288;0.000288
2026-07-13T19:47:11.599Z;4.599;0.000000;-3.345627;3.345627;0.000000;0.000000;59.278400000;59.278427000;-0.000027000;18.010141000;18.010147000;-0.000006000;false;0.000000;0.000000;0.000000;-0.000288;0.000288
2026-07-13T19:47:12.199Z;5.199;0.000000;-1.680165;1.680165;0.000000;0.000000;59.278400000;59.278442000;-0.000042000;18.010141000;18.010094000;0.000047000;false;0.000000;0.000000;0.000000;0.004488;-0.004488
