Time(ms);Time(Instant);travelledDistance;trainSpeed;gpsSpeed;lat;lon;gpsValid;trainSpeedAfter;gpsSpeedAfter;latAfter;lonAfter;gpsValidAfter
1783280851199;2026-07-05T19:47:31.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278397;18.010132;true
1783280851399;2026-07-05T19:47:31.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278427;18.010166;true
1783280851599;2026-07-05T19:47:31.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278374;18.010191;true
1783280851799;2026-07-05T19:47:31.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278400;18.010202;true
1783280851999;2026-07-05T19:47:31.999Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278362;18.010174;true
1783280852199;2026-07-05T19:47:32.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278427;18.010139;true
1783280852399;2026-07-05T19:47:32.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278435;18.010094;true
1783280852599;2026-07-05T19:47:32.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278385;18.010220;true
1783280852799;2026-07-05T19:47:32.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278378;18.010176;true
1783280853000;2026-07-05T19:47:33Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278374;18.010115;true
1783280853199;2026-07-05T19:47:33.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278404;18.010094;true
1783280853399;2026-07-05T19:47:33.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278343;18.010099;true
1783280853599;2026-07-05T19:47:33.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278381;18.010033;true
1783280853799;2026-07-05T19:47:33.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278400;18.010080;true
1783280854000;2026-07-05T19:47:34Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278446;18.010071;true
1783280854199;2026-07-05T19:47:34.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278404;18.010124;true
1783280854399;2026-07-05T19:47:34.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278400;18.010172;true
1783280854599;2026-07-05T19:47:34.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278385;18.010118;true
1783280854799;2026-07-05T19:47:34.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278400;18.010086;true
1783280855000;2026-07-05T19:47:35Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278450;18.010162;true
1783280855199;2026-07-05T19:47:35.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278404;18.010122;true
1783280855399;2026-07-05T19:47:35.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278423;18.010042;true
1783280855599;2026-07-05T19:47:35.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278336;18.010206;true
1783280855799;2026-07-05T19:47:35.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278397;18.010170;true
1783280856000;2026-07-05T19:47:36Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278419;18.010162;true
1783280856199;2026-07-05T19:47:36.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278385;18.010174;true
1783280856399;2026-07-05T19:47:36.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278404;18.010147;true
1783280856599;2026-07-05T19:47:36.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278431;18.010162;true
1783280856799;2026-07-05T19:47:36.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278355;18.010145;true
1783280857000;2026-07-05T19:47:37Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278351;18.010225;true
1783280857199;2026-07-05T19:47:37.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278358;18.010160;true
1783280857399;2026-07-05T19:47:37.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278404;18.010118;true
1783280857599;2026-07-05T19:47:37.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278381;18.010229;true
1783280857799;2026-07-05T19:47:37.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278366;18.010057;true
1783280858000;2026-07-05T19:47:38Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278366;18.010174;true
1783280858199;2026-07-05T19:47:38.199Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278362;18.010136;true
1783280858399;2026-07-05T19:47:38.399Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278416;18.010162;true
1783280858599;2026-07-05T19:47:38.599Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278419;18.010126;true
1783280858799;2026-07-05T19:47:38.799Z;1315.000;0.000;0.000;59.278400;18.010141;true;0.000;0.000;59.278439;18.010170;true
